snapshot_idx,snapshot_end_time,edge_count,edge_density,edge_jaccard,physical_recall,dynamic_precision,mean_edge_weight,max_edge_weight
0,11,0,0.0,0.0,0.0,0.0,0.0,0.0
1,95,456,0.0018276553106212426,0.29831387808041504,0.42201834862385323,0.5043859649122807,0.00018925398762803525,1.0
2,191,488,0.0019559118236472947,0.3159235668789809,0.45504587155963305,0.5081967213114754,0.00020036502974107862,1.0
3,287,528,0.00211623246492986,0.3198031980319803,0.47706422018348627,0.49242424242424243,0.00024314048641826957,1.0
4,383,530,0.002124248496993988,0.31901840490797545,0.47706422018348627,0.49056603773584906,0.00026780489133670926,1.0
5,479,547,0.002192384769539078,0.3268529769137303,0.4935779816513762,0.49177330895795246,0.00029411015566438437,1.0
6,575,546,0.002188376753507014,0.3321123321123321,0.4990825688073395,0.4981684981684982,0.00031330710044130683,1.0
7,671,553,0.002216432865731463,0.3357664233576642,0.5064220183486239,0.49909584086799275,0.0002801540831569582,1.0
8,767,552,0.0022124248496993987,0.3378048780487805,0.5082568807339449,0.5018115942028986,0.00033578145666979253,1.0
9,863,547,0.002192384769539078,0.3268529769137303,0.4935779816513762,0.49177330895795246,0.00029276733403094113,1.0
10,959,554,0.002220440881763527,0.3321212121212121,0.5027522935779817,0.49458483754512633,0.00030605445499531925,1.0
11,1055,553,0.002216432865731463,0.3373934226552984,0.5082568807339449,0.5009041591320073,0.00031366522307507694,1.0
12,1151,558,0.0022364729458917835,0.336969696969697,0.5100917431192661,0.4982078853046595,0.0003560937475413084,1.0
13,1247,555,0.0022244488977955913,0.3381995133819951,0.5100917431192661,0.5009009009009009,0.00033030964550562203,1.0
14,1343,541,0.0021683366733466934,0.33088235294117646,0.4954128440366973,0.49907578558225507,0.000345544918673113,1.0
15,1439,548,0.002196392785571142,0.3313032886723508,0.4990825688073395,0.49635036496350365,0.00032192692742682993,1.0
16,1535,554,0.002220440881763527,0.33698296836982966,0.5082568807339449,0.5,0.0002903448767028749,1.0
17,1631,565,0.0022645290581162327,0.34382566585956414,0.5211009174311927,0.5026548672566372,0.00029796650051139295,1.0
18,1727,579,0.00232064128256513,0.3461077844311377,0.5302752293577981,0.4991364421416235,0.00026927125873044133,1.0
19,1823,580,0.0023246492985971945,0.3505402160864346,0.5357798165137615,0.503448275862069,0.00025540177011862397,1.0
20,1919,584,0.002340681362725451,0.3520958083832335,0.5394495412844037,0.5034246575342466,0.00029001571238040924,1.0
21,2015,588,0.0023567134268537076,0.3568862275449102,0.5467889908256881,0.5068027210884354,0.0003458254795987159,1.0
22,2111,585,0.002344689378757515,0.3532934131736527,0.5412844036697247,0.5042735042735043,0.00041290692752227187,1.0
23,2207,594,0.002380761523046092,0.3575685339690107,0.5504587155963303,0.5050505050505051,0.00041662933654151857,1.0
24,2303,600,0.002404809619238477,0.3566350710900474,0.5522935779816514,0.5016666666666667,0.0004067194531671703,1.0
25,2399,596,0.0023887775551102203,0.356718192627824,0.5504587155963303,0.5033557046979866,0.0004084650136064738,1.0
26,2495,591,0.0023687374749499,0.3539928486293206,0.544954128440367,0.5025380710659898,0.0004262830188963562,1.0
27,2591,587,0.0023527054108216433,0.3476190476190476,0.5357798165137615,0.49744463373083475,0.0004338352009654045,1.0
28,2687,584,0.002340681362725451,0.3456495828367104,0.5321100917431193,0.4965753424657534,0.0003487213980406523,1.0
29,2783,588,0.0023567134268537076,0.34560570071258906,0.5339449541284403,0.49489795918367346,0.00035386401577852666,1.0
30,2879,591,0.0023687374749499,0.3459715639810427,0.5357798165137615,0.494077834179357,0.00034915172727778554,1.0
31,2975,594,0.002380761523046092,0.3447461629279811,0.5357798165137615,0.49158249158249157,0.00034839980071410537,1.0
32,3071,597,0.0023927855711422846,0.34988179669030733,0.5431192660550459,0.49581239530988275,0.0002829806471709162,1.0
33,3167,578,0.0023166332665330663,0.34330143540669855,0.5266055045871559,0.49653979238754326,0.0002782611991278827,1.0
34,3263,588,0.0023567134268537076,0.3504171632896305,0.5394495412844037,0.5,0.0003251968009863049,1.0
35,3359,582,0.002332665330661323,0.3480861244019139,0.5339449541284403,0.5,0.00035568364546634257,1.0
36,3455,585,0.002344689378757515,0.35005973715651134,0.5376146788990825,0.5008547008547009,0.00037090873229317367,1.0
37,3551,575,0.0023046092184368736,0.3493975903614458,0.5321100917431193,0.5043478260869565,0.00038784710341133177,1.0
38,3647,586,0.0023486973947895794,0.3496420047732697,0.5376146788990825,0.5,0.00040675827767699957,1.0
39,3743,591,0.0023687374749499,0.3491686460807601,0.5394495412844037,0.49746192893401014,0.00039909197948873043,1.0
40,3839,585,0.002344689378757515,0.35167464114832536,0.5394495412844037,0.5025641025641026,0.0004094390897080302,1.0
41,3935,587,0.0023527054108216433,0.3460166468489893,0.5339449541284403,0.4957410562180579,0.0004477074835449457,1.0
42,4031,579,0.00232064128256513,0.34772182254196643,0.5321100917431193,0.5008635578583766,0.00045597224379889667,1.0
43,4127,576,0.002308617234468938,0.3457382953181273,0.5284403669724771,0.5,0.0004418966709636152,1.0
44,4223,576,0.002308617234468938,0.34251497005988024,0.5247706422018349,0.4965277777777778,0.00036290744901634753,1.0
45,4319,580,0.0023246492985971945,0.34408602150537637,0.5284403669724771,0.496551724137931,0.00035098681109957397,1.0
46,4415,590,0.0023647294589178355,0.3528009535160906,0.5431192660550459,0.5016949152542373,0.0003908253274857998,1.0
47,4511,592,0.0023727454909819637,0.35518474374255066,0.5467889908256881,0.5033783783783784,0.00037278656964190304,1.0
48,4607,576,0.002308617234468938,0.3409090909090909,0.5229357798165137,0.4947916666666667,0.00039811833994463086,1.0
49,4703,583,0.0023366733466933867,0.33807829181494664,0.5229357798165137,0.4888507718696398,0.00041941707604564726,1.0
50,4799,594,0.002380761523046092,0.3495260663507109,0.5412844036697247,0.49663299663299665,0.0003887438797391951,1.0
51,4895,582,0.002332665330661323,0.3513189448441247,0.5376146788990825,0.5034364261168385,0.00037938033347018063,1.0
52,4991,578,0.0023166332665330663,0.34169653524492233,0.5247706422018349,0.49480968858131485,0.0003236829361412674,1.0
53,5087,571,0.002288577154308617,0.35108958837772397,0.5321100917431193,0.5078809106830122,0.0003949540841858834,1.0
54,5183,560,0.0022444889779559118,0.3442822384428224,0.5192660550458715,0.5053571428571428,0.00033853514469228685,1.0
55,5279,570,0.002284569138276553,0.3385354141656663,0.5174311926605505,0.49473684210526314,0.0003278059884905815,1.0
56,5375,579,0.00232064128256513,0.3444976076555024,0.5284403669724771,0.49740932642487046,0.0003583791549317539,1.0
57,5471,585,0.002344689378757515,0.3436385255648038,0.5302752293577981,0.49401709401709404,0.00032063634716905653,1.0
58,5567,584,0.002340681362725451,0.3313679245283019,0.5155963302752293,0.4811643835616438,0.0003505964996293187,1.0
59,5663,591,0.0023687374749499,0.3507728894173603,0.5412844036697247,0.49915397631133673,0.00037791955401189625,1.0
60,5759,593,0.002376753507014028,0.34834123222748814,0.5394495412844037,0.4957841483979764,0.0003983458154834807,1.0
61,5855,583,0.0023366733466933867,0.34285714285714286,0.5284403669724771,0.4939965694682676,0.0003950161044485867,1.0
