snapshot_idx,snapshot_end_time,recompute_cached_l1_mean,recompute_cached_linf
0,11,0.0,0.0
1,95,0.0,0.0
2,191,0.0,0.0
3,287,0.0,0.0
4,383,0.0,0.0
5,479,0.0,0.0
6,575,0.0,0.0
7,671,0.0,0.0
8,767,0.0,0.0
9,863,0.0,0.0
10,959,0.0,0.0
11,1055,0.0,0.0
12,1151,0.0,0.0
13,1247,0.0,0.0
14,1343,0.0,0.0
15,1439,0.0,0.0
16,1535,0.0,0.0
17,1631,0.0,0.0
18,1727,0.0,0.0
19,1823,0.0,0.0
20,1919,0.0,0.0
21,2015,0.0,0.0
22,2111,0.0,0.0
23,2207,0.0,0.0
24,2303,0.0,0.0
25,2399,0.0,0.0
26,2495,0.0,0.0
27,2591,0.0,0.0
28,2687,0.0,0.0
29,2783,0.0,0.0
30,2879,0.0,0.0
31,2975,0.0,0.0
32,3071,0.0,0.0
33,3167,0.0,0.0
34,3263,0.0,0.0
35,3359,0.0,0.0
36,3455,0.0,0.0
37,3551,0.0,0.0
38,3647,0.0,0.0
39,3743,0.0,0.0
40,3839,0.0,0.0
41,3935,0.0,0.0
42,4031,0.0,0.0
43,4127,0.0,0.0
44,4223,0.0,0.0
45,4319,0.0,0.0
46,4415,0.0,0.0
47,4511,0.0,0.0
48,4607,0.0,0.0
49,4703,0.0,0.0
50,4799,0.0,0.0
51,4895,0.0,0.0
52,4991,0.0,0.0
53,5087,0.0,0.0
54,5183,0.0,0.0
55,5279,0.0,0.0
56,5375,0.0,0.0
57,5471,0.0,0.0
58,5567,0.0,0.0
59,5663,0.0,0.0
60,5759,0.0,0.0
61,5855,0.0,0.0
