mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
B_traffic_time,traffic_time,36,12,0.0,STGCN,0.294113513496187,False,3.7463035583496094,5.844655513763428,0.15023362636566162,100.0,84
B_traffic_time,traffic_time,36,36,0.0,STGCN,0.294113513496187,False,4.194855213165283,6.516916275024414,0.17357081174850464,100.0,84
B_traffic_time,traffic_time,36,12,0.0,DCRNN,0.30844296018282574,False,3.9114058017730713,6.051359176635742,0.16205652058124542,100.0,84
B_traffic_time,traffic_time,36,36,0.0,DCRNN,0.30844296018282574,False,4.494568824768066,6.978705406188965,0.1879822015762329,100.0,84
B_traffic_time,traffic_time,36,12,0.0,HA,,False,4.420600891113281,6.825934410095215,0.18181109428405762,100.0,84
B_traffic_time,traffic_time,36,36,0.0,HA,,False,4.366766452789307,6.768595218658447,0.18092548847198486,100.0,84
B_traffic_time,traffic_time,36,12,0.0,ARIMA,,False,4.085697650909424,6.4136528968811035,0.16608335077762604,100.0,84
B_traffic_time,traffic_time,36,36,0.0,ARIMA,,False,4.513814449310303,7.000955104827881,0.1857883632183075,100.0,84
B_traffic_time,traffic_time,36,12,0.0,LastValue,,False,4.908753871917725,7.917966842651367,0.1903935670852661,100.0,84
B_traffic_time,traffic_time,36,36,0.0,LastValue,,False,6.927804946899414,10.531035423278809,0.26274025440216064,100.0,84
