mode,mode_label,position,gate_mean_mean,dynamic_preference_share_mean,gate_q10_mean,gate_q50_mean,gate_q90_mean
C_traffic_time_query,C 全外生-动态图,H12-B0,0.6235227003693581,0.6519265625,0.4583890758454799,0.6274422571063042,0.7826125204563141
C_traffic_time_query,C 全外生-动态图,H12-B1,0.5203829005360603,0.509296875,0.280226993188262,0.5058425635099411,0.7877974480390548
C_traffic_time_query,C 全外生-动态图,H36-B0,0.4448900610208511,0.3201390625,0.2462508834898472,0.4047900035977363,0.7425866663455963
C_traffic_time_query,C 全外生-动态图,H36-B1,0.3630283087491989,0.2764515625,0.1204642292112112,0.3483037382364273,0.6230690807104111
E_traffic_time_causal,E 时间-动态图,H12-B0,0.5818996533751488,0.5324171875,0.3985671482980251,0.5784740656614303,0.7625946566462517
E_traffic_time_causal,E 时间-动态图,H12-B1,0.5005069240927696,0.4646140625,0.2949291076511144,0.4619237996637821,0.7691358208656311
E_traffic_time_causal,E 时间-动态图,H36-B0,0.5252089694142341,0.5608265625000001,0.2468171916902065,0.5557284995913505,0.7647272944450378
E_traffic_time_causal,E 时间-动态图,H36-B1,0.3587521404027939,0.300071875,0.1110572069883346,0.3423162013292312,0.6344502985477447
H_time_query_causal,H query-动态图,H12-B0,0.3054540331475436,0.3282546875,0.1462822179324575,0.3194602767951437,0.4459952558405348
H_time_query_causal,H query-动态图,H12-B1,0.2508874798586475,0.2226,0.1033440137631259,0.2352206761366687,0.4227030421025119
H_time_query_causal,H query-动态图,H36-B0,0.4347761362791061,0.3125046875,0.225369594246149,0.3945694833993912,0.7188389241695404
H_time_query_causal,H query-动态图,H36-B1,0.3727322980761528,0.278915625,0.1305083278566599,0.3749335139989853,0.6235112518072128
J_time_weather_causal,J weather-动态图,H12-B0,0.6199831941703451,0.671165625,0.5551119917654432,0.625489730539266,0.6723447778844275
J_time_weather_causal,J weather-动态图,H12-B1,0.5599326485753409,0.55488125,0.4333899738208856,0.5454257303790655,0.7116874108032789
J_time_weather_causal,J weather-动态图,H36-B0,0.365844178077532,0.3652093749999999,0.1776993005230906,0.3719371883824351,0.5489227845027926
J_time_weather_causal,J weather-动态图,H36-B1,0.2827937804249814,0.2523578125,0.0667620631051249,0.2570978999254293,0.5477419443544932
